Käyttöönottovuosi,Merkki,Malli,"Katsastusten
lukumäärä",Hylkäys-%,"Ajettujen
kilometrien
keskiarvo","Ajettujen
kilometrien
mediaani",Yleisin hylkäyssyy,"Toiseksi yleisin
hylkäyssyy","Kolmanneksi yleisin
hylkäyssyy"
2003,Chrysler,Mallit yhteensä,1605,47.1,224000,217000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Käyttöjarru
2003,Chrysler,NEON,299,39.13,161000,160000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Alustan kotelot ja
pohjalevy"
2003,Chrysler,PT CRUISER,146,47.95,212000,211000,Etuakselisto,"Ohjausnivelet ja
-tangot","Alustan kotelot ja
pohjalevy"
2003,Chrysler,SEBRING,379,44.85,197000,192000,"Ohjausnivelet ja
-tangot","Alustan kotelot ja
pohjalevy",Etuakselisto
2003,Chrysler,VOYAGER,727,52.68,268000,261000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Alustan kotelot ja
pohjalevy"
2003,Citroen,Mallit yhteensä,5723,40.61,219000,212000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Citroen,BERLINGO,411,37.47,237000,232000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2003,Citroen,C3,1401,39.47,173000,168000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2003,Citroen,C5,1791,45.28,255000,252000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Citroen,SAXO,110,39.09,135000,133000,"Käyttöjarrun
dynamometritesti",,
2003,Citroen,XSARA,1144,36.01,217000,208000,Käyttöjarru,Etuakselisto,"Seisontajarrun
dynamometritesti"
2003,Citroen,XSARA PICASSO,666,41.74,232000,232000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2003,Daewoo,Mallit yhteensä,712,44.1,159000,157000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Daewoo,EVANDA,115,45.22,193000,196000,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti",
2003,Daewoo,KALOS,399,43.36,154000,151000,Etuakselisto,"Käyttöjarrun
dynamometritesti",
2003,Fiat,Mallit yhteensä,3672,45.94,167000,165000,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2003,Fiat,PUNTO,2390,44.6,156000,153000,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2003,Fiat,STILO,1252,48.48,187000,183000,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto,"Seisontajarrun
dynamometritesti"
2003,Ford,Mallit yhteensä,10068,36.69,224000,221000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2003,Ford,FIESTA,1369,19.65,168000,162000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Käyttöjarru
2003,Ford,FOCUS,3881,37.13,220000,217000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2003,Ford,FOCUS C-MAX,188,41.49,244000,232000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2003,Ford,FUSION,623,26.16,198000,195000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Bensiinimoottorin
pakokaasumittaus"
2003,Ford,GALAXY,110,44.55,264000,266000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Alustan kotelot ja
pohjalevy"
2003,Ford,KA,257,38.13,125000,121000,"Alustan kotelot ja
pohjalevy","Jousitus ja
iskunvaimennus",Etuakselisto
2003,Ford,MONDEO,3460,43.87,259000,255000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2003,Honda,Mallit yhteensä,4312,28.8,234000,232000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Honda,ACCORD,1221,38.82,262000,261000,Etuakselisto,Käyttöjarru,Taka-akselisto
2003,Honda,CIVIC,1170,25.13,200000,202000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Honda,CR-V,1056,23.48,256000,250000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus",Käyttöjarru
2003,Honda,HR-V,297,21.89,219000,217000,"Alustan kotelot ja
pohjalevy","Bensiinimoottorin
pakokaasumittaus","Ohjausnivelet ja
-tangot"
2003,Honda,JAZZ,413,23.49,182000,180000,Etuakselisto,Käyttöjarru,"Bensiinimoottorin
pakokaasumittaus"
2003,Honda,STREAM,145,42.76,281000,276000,"Sisäinen
valvontajärjestelmä
(OBD)","Alustan kotelot ja
pohjalevy","Käyttöjarrun
dynamometritesti"
2003,Hyundai,Mallit yhteensä,1328,34.79,192000,186000,Käyttöjarru,"Käyttöjarrun
dynamometritesti",Etuakselisto
2003,Hyundai,ELANTRA,124,37.9,194000,182000,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)",
2003,Hyundai,GETZ,547,27.61,158000,154000,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti"
2003,Hyundai,SANTA FE,128,30.47,257000,253000,Etuakselisto,,
2003,Hyundai,SONATA,189,42.86,218000,213000,Käyttöjarru,"Käyttöjarrun
dynamometritesti",Taka-akselisto
2003,Hyundai,TRAJET,106,50.94,253000,239000,"Alustan kotelot ja
pohjalevy",Taka-akselisto,Käyttöjarru
2003,Jaguar,Mallit yhteensä,303,30.69,190000,187000,"Seisontajarrun
dynamometritesti",Taka-akselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Jaguar,S-TYPE,118,25.42,185000,185000,"Seisontajarrun
dynamometritesti",,
2003,Jaguar,X-TYPE,128,42.97,201000,198000,Taka-akselisto,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti"
2003,Jeep,Mallit yhteensä,271,38.38,240000,233000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Asiapaperit
2003,Jeep,CHEROKEE,252,40.48,246000,238000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Asiapaperit
2003,Lada-Vaz,Mallit yhteensä,342,32.75,109000,100000,"Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2003,Lada-Vaz,112,177,34.46,110000,98000,"Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2003,Lada-Vaz,SAMARA,128,25.78,103000,99000,"Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti","Bensiinimoottorin
pakokaasumittaus"
2003,Land Rover,Mallit yhteensä,277,29.6,257000,256000,"Ohjausnivelet ja
-tangot",Etuakselisto,
2003,Land Rover,FREELANDER,145,33.79,282000,292000,"Ohjausnivelet ja
-tangot",,
2003,Mazda,Mallit yhteensä,3749,47.32,237000,236000,"Alustan kotelot ja
pohjalevy","Käyttöjarrun
dynamometritesti",Käyttöjarru
2003,Mazda,2,125,24,172000,169000,,,
2003,Mazda,3,496,53.02,201000,194000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Mazda,6,2967,47.46,248000,247000,"Alustan kotelot ja
pohjalevy","Käyttöjarrun
dynamometritesti",Käyttöjarru
2003,Mercedes-Benz,Mallit yhteensä,8696,41.57,312000,300000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2003,Mercedes-Benz,A,372,41.94,180000,177000,"Jousitus ja
iskunvaimennus","Alustan kotelot ja
pohjalevy",
2003,Mercedes-Benz,C,2894,45.58,287000,271000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2003,Mercedes-Benz,CLK,366,36.61,223000,216000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2003,Mercedes-Benz,E,4129,40.16,359000,348000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2003,Mercedes-Benz,M,350,46,303000,303000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Jousitus ja
iskunvaimennus"
2003,Mercedes-Benz,S,174,28.16,256000,256000,Taka-akselisto,Etuakselisto,"Seisontajarrun
dynamometritesti"
2003,Mini,Mallit yhteensä,371,32.61,172000,174000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Mini,COOPER,371,32.61,172000,174000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Mitsubishi,Mallit yhteensä,710,36.9,231000,231000,Etuakselisto,Käyttöjarru,Taka-akselisto
2003,Mitsubishi,CARISMA,193,38.86,223000,215000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2003,Mitsubishi,LANCER,151,33.11,206000,216000,"Ohjausnivelet ja
-tangot",Etuakselisto,Taka-akselisto
2003,Mitsubishi,OUTLANDER,111,46.85,240000,243000,Taka-akselisto,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus"
2003,Mitsubishi,PAJERO,140,31.43,286000,278000,Etuakselisto,"Alustan kotelot ja
pohjalevy","Jousitus ja
iskunvaimennus"
2003,Nissan,Mallit yhteensä,9218,33.75,206000,203000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Nissan,ALMERA,3868,28.77,193000,191000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2003,Nissan,ALMERA TINO,382,39.53,215000,211000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Nissan,MAXIMA QX,237,30.38,227000,226000,Etuakselisto,Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2003,Nissan,MICRA,1227,33.74,156000,151000,Etuakselisto,"Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Nissan,PRIMERA,3184,38.63,232000,230000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Nissan,X-TRAIL,193,42.49,258000,248000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2003,Opel,Mallit yhteensä,5994,39.67,218000,215000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Opel,ASTRA,2202,34.47,206000,203000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2003,Opel,CORSA,523,34.8,161000,159000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2003,Opel,MERIVA,807,38.41,199000,199000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2003,Opel,OMEGA,113,30.97,260000,252000,"Ohjausnivelet ja
-tangot",,
2003,Opel,VECTRA,1808,46.9,247000,245000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Taka-akselisto
2003,Opel,ZAFIRA,422,49.76,262000,259000,"Seisontajarrun
dynamometritesti",Käyttöjarru,
2003,Peugeot,Mallit yhteensä,7458,42.75,213000,205000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2003,Peugeot,206,2566,40.45,165000,162000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Peugeot,307,3507,43.43,229000,226000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Peugeot,406,1078,45.36,266000,248000,"Seisontajarrun
dynamometritesti",Etuakselisto,Taka-akselisto
2003,Peugeot,PARTNER,136,39.71,229000,226000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2003,Porsche,Mallit yhteensä,131,17.56,156000,161000,"Sisäinen
valvontajärjestelmä
(OBD)",,
2003,Renault,Mallit yhteensä,5882,44.3,200000,198000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2003,Renault,CLIO,1155,36.62,152000,151000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot",Etuakselisto
2003,Renault,LAGUNA,1393,53.84,231000,230000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2003,Renault,MEGANE,2510,43.07,202000,199000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2003,Renault,"MEGANE
SCENIC",576,39.58,207000,208000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2003,Saab,Mallit yhteensä,2111,32.12,259000,252000,Taka-akselisto,"Seisontajarrun
dynamometritesti",Etuakselisto
2003,Saab,9-3,1174,34.84,245000,241000,Taka-akselisto,Etuakselisto,"Seisontajarrun
dynamometritesti"
2003,Saab,9-5,937,28.71,277000,268000,Taka-akselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Seat,Mallit yhteensä,1408,40.27,264000,251000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2003,Seat,CORDOBA,574,41.64,260000,251000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Seat,IBIZA,256,40.63,205000,196000,Käyttöjarru,Etuakselisto,
2003,Seat,LEON,367,37.06,288000,268000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2003,Seat,TOLEDO,155,41.94,329000,333000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2003,Skoda,Mallit yhteensä,3047,34.79,255000,243000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2003,Skoda,FABIA,870,39.77,204000,199000,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Skoda,OCTAVIA,1992,32.63,273000,257000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2003,Skoda,SUPERB,185,34.59,310000,299000,Etuakselisto,Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2003,Smart,Mallit yhteensä,154,25.32,104000,108000,"Bensiinimoottorin
pakokaasumittaus",Etuakselisto,"Jousitus ja
iskunvaimennus"
2003,Smart,FORTWO,116,25,99000,107000,"Bensiinimoottorin
pakokaasumittaus",Etuakselisto,"Jousitus ja
iskunvaimennus"
2003,Subaru,Mallit yhteensä,415,22.17,224000,218000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Subaru,IMPREZA,157,22.93,190000,193000,"Bensiinimoottorin
pakokaasumittaus",,
2003,Subaru,LEGACY,156,24.36,232000,233000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
2003,Suzuki,Mallit yhteensä,575,27.83,184000,176000,Etuakselisto,"Käyttöjarrun
dynamometritesti",
2003,Suzuki,GRAND VITARA,142,19.01,233000,223000,,,
2003,Suzuki,LIANA,150,30.67,175000,169000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Toyota,Mallit yhteensä,20954,20.76,235000,227000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2003,Toyota,AVENSIS,5708,21.18,262000,252000,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru
2003,Toyota,AVENSIS VERSO,511,25.44,307000,292000,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti"
2003,Toyota,CAMRY,217,11.98,253000,244000,Käyttöjarru,,
2003,Toyota,COROLLA,8920,18.55,221000,216000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Käyttöjarru
2003,Toyota,"COROLLA
VERSO",1133,31.33,251000,242000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Käyttöjarru
2003,Toyota,LAND CRUISER,379,23.75,357000,360000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Toyota,RAV4,652,15.95,250000,245000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti"
2003,Toyota,YARIS,2428,20.02,172000,166000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2003,Toyota,YARIS VERSO,756,27.38,219000,213000,"Alustan kotelot ja
pohjalevy",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2003,Volkswagen,Mallit yhteensä,15714,32.54,252000,238000,Käyttöjarru,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Volkswagen,BORA,2593,28.81,224000,214000,"Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2003,Volkswagen,GOLF,6650,31.28,251000,240000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2003,Volkswagen,PASSAT,3108,35.2,312000,300000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2003,Volkswagen,POLO,2272,34.68,179000,168000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2003,Volkswagen,TOUAREG,113,24.78,252000,251000,"Sisäinen
valvontajärjestelmä
(OBD)",,
2003,Volkswagen,TOURAN,504,43.65,306000,289000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2003,Volkswagen,TRANSPORTER,158,46.84,465000,480000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2003,Volvo,Mallit yhteensä,10898,37.13,296000,282000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2003,Volvo,S40,1272,35.53,227000,219000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2003,Volvo,S60,1971,36.53,275000,266000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Volvo,S80,902,32.59,306000,289000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Volvo,V40,1484,37.26,257000,252000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2003,Volvo,V70,4358,38.04,332000,315000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2003,Volvo,XC70,402,35.07,331000,314000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2003,Volvo,XC90,495,45.66,312000,309000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2004,Merkit yhteensä,Mallit yhteensä,138649,32.87,228000,217000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Alfa Romeo,Mallit yhteensä,413,49.39,187000,178000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Alfa Romeo,147,109,48.62,162000,165000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Alfa Romeo,156,264,53.03,194000,182000,Etuakselisto,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy"
2004,Audi,Mallit yhteensä,5320,28.27,266000,254000,Etuakselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2004,Audi,A3,902,34.04,228000,217000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2004,Audi,A4,2392,27.63,269000,258000,Etuakselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2004,Audi,A6,1790,26.82,288000,277000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,BMW,Mallit yhteensä,4991,37.27,269000,262000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2004,BMW,1,190,38.95,226000,216000,Taka-akselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2004,BMW,3,1767,38.09,247000,238000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2004,BMW,5,2009,40.72,298000,294000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,BMW,X3,340,23.82,268000,251000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Etuakselisto
2004,BMW,X5,362,36.46,303000,297000,Käyttöjarru,Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,BMW,Z4,115,13.91,145000,129000,,,
2004,Chevrolet,Mallit yhteensä,102,42.16,216000,201000,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)",
2004,Chrysler,Mallit yhteensä,1649,44.51,213000,209000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Etuakselisto
2004,Chrysler,300C,136,50.74,209000,209000,Etuakselisto,"Seisontajarrun
dynamometritesti",Taka-akselisto
2004,Chrysler,NEON,273,42.12,151000,152000,"Alustan kotelot ja
pohjalevy","Ohjausnivelet ja
-tangot",Käyttöjarru
2004,Chrysler,PT CRUISER,180,39.44,191000,180000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Chrysler,SEBRING,306,44.44,197000,192000,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti",Etuakselisto
2004,Chrysler,VOYAGER,688,46.51,256000,246000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Ohjausnivelet ja
-tangot"
2004,Citroen,Mallit yhteensä,5310,37.59,199000,189000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Citroen,BERLINGO,294,34.69,225000,215000,Etuakselisto,"Ohjausnivelet ja
-tangot","Käyttöjarrun
dynamometritesti"
2004,Citroen,C2,683,33.24,153000,150000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Citroen,C3,1035,34.59,152000,150000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Citroen,C4,113,45.13,187000,184000,Etuakselisto,"Jousitus ja
iskunvaimennus",
2004,Citroen,C5,1582,42.98,242000,235000,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2004,Citroen,XSARA,1030,34.17,195000,191000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2004,Citroen,XSARA PICASSO,474,40.08,220000,220000,Etuakselisto,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti"
2004,Daewoo,Mallit yhteensä,1763,45.15,158000,154000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Daewoo,EVANDA,254,52.36,188000,188000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2004,Daewoo,KALOS,683,38.51,139000,136000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Alustan kotelot ja
pohjalevy"
2004,Daewoo,LACETTI,173,47.4,161000,158000,Käyttöjarru,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Daewoo,MATIZ,176,49.43,114000,112000,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto,"Alustan kotelot ja
pohjalevy"
2004,Daewoo,NUBIRA,340,50,189000,180000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)","Alustan kotelot ja
pohjalevy"
2004,Daewoo,TACUMA,137,44.53,169000,166000,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto,"Käyttöjarrun
dynamometritesti"
2004,Fiat,Mallit yhteensä,4299,39.89,161000,157000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Fiat,PANDA,134,41.04,135000,133000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Fiat,PUNTO,2740,34.34,148000,145000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Fiat,STILO,1373,50.84,189000,186000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Ford,Mallit yhteensä,10305,33.41,220000,217000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2004,Ford,FIESTA,763,13.89,155000,146000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Ford,FOCUS,4916,31.02,214000,213000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Käyttöjarrun
dynamometritesti"
