Käyttöönottovuosi,Merkki,Malli,Katsastusten lukumäärä,Hylkäys-%,Ajettujen kilometrien keskiarvo,Ajettujen kilometrien mediaani,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2004,Merkit yhteensä,Mallit yhteensä,134872,34.16,238000,227000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Alfa Romeo,Mallit yhteensä,390,44.87,184000,182000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Alfa Romeo,156,244,44.26,186000,183000,Etuakselisto,"Seisontajarrun
dynamometritesti","Bensiinimoottorin
pakokaasumittaus"
2004,Audi,Mallit yhteensä,5223,30.4,277000,265000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2004,Audi,A3,869,34.98,236000,227000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Audi,A4,2404,29.24,282000,269000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Audi,A6,1705,30.38,301000,288000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,BMW,Mallit yhteensä,4914,38.79,280000,273000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,BMW,1,179,44.69,238000,225000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2004,BMW,3,1729,40.08,259000,246000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2004,BMW,5,1977,41.93,311000,307000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,BMW,X3,329,25.53,277000,265000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,BMW,X5,369,35.77,317000,310000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,BMW,Z4,116,14.66,136000,131000,,,
2004,Chrysler,Mallit yhteensä,1498,44.39,218000,216000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Käyttöjarru
2004,Chrysler,300C,122,34.43,212000,216000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Chrysler,NEON,242,41.32,158000,158000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Chrysler,PT CRUISER,164,42.07,199000,189000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Chrysler,SEBRING,279,47.31,198000,195000,"Alustan kotelot ja
pohjalevy","Ohjausnivelet ja
-tangot",Etuakselisto
2004,Chrysler,VOYAGER,635,48.66,260000,254000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Alustan kotelot ja
pohjalevy"
2004,Citroen,Mallit yhteensä,4992,37.18,204000,195000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Citroen,BERLINGO,278,38.13,238000,225000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2004,Citroen,C2,656,34.6,160000,159000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Citroen,C3,1005,32.84,159000,158000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Citroen,C4,100,37,196000,193000,Käyttöjarru,Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,Citroen,C5,1455,44.6,245000,241000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Citroen,XSARA,977,30.19,201000,196000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2004,Citroen,XSARA PICASSO,428,41.82,226000,225000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,Daewoo,Mallit yhteensä,1543,45.37,160000,156000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Daewoo,EVANDA,224,47.77,188000,191000,Etuakselisto,Taka-akselisto,
2004,Daewoo,KALOS,626,40.73,138000,140000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Daewoo,LACETTI,142,42.25,188000,164000,"Alustan kotelot ja
pohjalevy","Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Daewoo,MATIZ,145,54.48,113000,108000,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto,"Käyttöjarrun
dynamometritesti"
2004,Daewoo,NUBIRA,285,52.28,191000,184000,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru
2004,Daewoo,TACUMA,121,41.32,169000,170000,"Käyttöjarrun
dynamometritesti",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Fiat,Mallit yhteensä,4015,41.47,165000,162000,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Fiat,PANDA,121,38.02,141000,138000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Fiat,PUNTO,2658,38.3,155000,152000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Fiat,STILO,1190,48.82,191000,188000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Ford,Mallit yhteensä,9873,35.45,230000,226000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2004,Ford,FIESTA,735,15.1,161000,154000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Käyttöjarru
2004,Ford,FOCUS,4698,35.57,223000,221000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Käyttöjarrun
dynamometritesti"
2004,Ford,FOCUS C-MAX,1011,38.28,242000,234000,Etuakselisto,"Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus"
2004,Ford,FUSION,232,18.97,191000,187000,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2004,Ford,MONDEO,2672,40.79,259000,256000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2004,Ford,"TOURNEO
CONNECT",197,36.55,229000,226000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Etuakselisto
2004,Honda,Mallit yhteensä,4253,27.16,230000,228000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Honda,ACCORD,1208,32.7,264000,262000,Etuakselisto,"Seisontajarrun
dynamometritesti",Taka-akselisto
2004,Honda,CIVIC,1233,25.55,199000,198000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Honda,CR-V,1004,22.31,245000,243000,"Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru,Etuakselisto
2004,Honda,HR-V,281,19.93,216000,213000,"Alustan kotelot ja
pohjalevy","Bensiinimoottorin
pakokaasumittaus","Ohjausnivelet ja
-tangot"
2004,Honda,JAZZ,371,30.73,180000,176000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2004,Honda,STREAM,143,34.97,275000,245000,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto,Käyttöjarru
2004,Hyundai,Mallit yhteensä,1490,36.04,197000,188000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Etuakselisto
2004,Hyundai,ELANTRA,130,41.54,218000,194000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Hyundai,GETZ,580,29.31,160000,154000,"Käyttöjarrun
dynamometritesti","Akseliston
kiinnityspalkit",Etuakselisto
2004,Hyundai,MATRIX,180,46.11,180000,177000,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Hyundai,SANTA FE,162,27.16,262000,259000,Etuakselisto,,
2004,Hyundai,SONATA,109,41.28,216000,211000,Taka-akselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Jaguar,Mallit yhteensä,389,40.87,220000,216000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti",Taka-akselisto
2004,Jaguar,S-TYPE,124,37.9,208000,199000,Taka-akselisto,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti"
2004,Jaguar,X-TYPE,216,46.76,239000,238000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti",Taka-akselisto
2004,Jeep,Mallit yhteensä,219,38.81,230000,218000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Jeep,CHEROKEE,206,38.83,238000,225000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Kia,Mallit yhteensä,314,40.45,213000,207000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2004,Land Rover,Mallit yhteensä,359,30.92,245000,237000,"Ohjausnivelet ja
-tangot",Etuakselisto,
2004,Land Rover,FREELANDER,206,28.16,248000,244000,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti",Etuakselisto
2004,Lexus,Mallit yhteensä,115,20.87,210000,208000,,,
2004,Mazda,Mallit yhteensä,4191,46.12,226000,225000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,Mazda,3,1190,46.64,202000,200000,Etuakselisto,"Alustan kotelot ja
pohjalevy","Jousitus ja
iskunvaimennus"
2004,Mazda,6,2513,46.56,243000,240000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Mazda,PREMACY,222,56.31,217000,222000,"Alustan kotelot ja
pohjalevy",Kori,Käyttöjarru
2004,Mercedes-Benz,Mallit yhteensä,8010,40,302000,287000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Mercedes-Benz,A,400,34.25,183000,177000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Etuakselisto
2004,Mercedes-Benz,C,2820,45.89,290000,273000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Mercedes-Benz,CLK,268,38.06,211000,201000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Mercedes-Benz,E,3235,37.99,352000,341000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Mercedes-Benz,M,281,45.2,321000,313000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Etuakselisto
2004,Mercedes-Benz,S,113,23.01,244000,228000,Taka-akselisto,,
2004,Mercedes-Benz,SLK,344,21.51,150000,145000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Mercedes-Benz,VIANO,101,43.56,295000,307000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti",Kori
2004,Mercedes-Benz,VITO,143,60.14,370000,353000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti",
2004,Mini,Mallit yhteensä,338,30.47,167000,164000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Mini,COOPER,338,30.47,167000,164000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Mitsubishi,Mallit yhteensä,1074,39.01,228000,224000,Taka-akselisto,"Ohjausnivelet ja
-tangot",Etuakselisto
2004,Mitsubishi,GRANDIS,134,49.25,268000,269000,Etuakselisto,Käyttöjarru,"Ohjausnivelet ja
-tangot"
2004,Mitsubishi,LANCER,410,40,218000,213000,"Ohjausnivelet ja
-tangot",Taka-akselisto,Käyttöjarru
2004,Mitsubishi,OUTLANDER,156,45.51,224000,228000,Taka-akselisto,"Ohjausnivelet ja
-tangot",Etuakselisto
2004,Mitsubishi,PAJERO,127,36.22,308000,311000,Etuakselisto,,
2004,Nissan,Mallit yhteensä,8723,32.34,209000,204000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Nissan,ALMERA,2838,26.53,190000,184000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2004,Nissan,ALMERA TINO,404,33.66,205000,199000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Bensiinimoottorin
pakokaasumittaus"
2004,Nissan,MAXIMA QX,607,29.49,229000,227000,Etuakselisto,Käyttöjarru,"Alustan kotelot ja
pohjalevy"
2004,Nissan,MICRA,1051,31.97,156000,153000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2004,Nissan,PRIMERA,3037,36.55,232000,227000,Etuakselisto,Käyttöjarru,"Bensiinimoottorin
pakokaasumittaus"
2004,Nissan,X-TRAIL,608,39.97,254000,250000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Opel,Mallit yhteensä,5258,40.43,225000,221000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Opel,ASTRA,1942,35.32,200000,198000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Bensiinimoottorin
pakokaasumittaus"
2004,Opel,CORSA,300,34.67,159000,150000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2004,Opel,MERIVA,517,40.04,185000,184000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Opel,VECTRA,2105,44.42,262000,258000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Taka-akselisto
2004,Opel,ZAFIRA,291,54.3,265000,255000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Peugeot,Mallit yhteensä,7977,39.1,208000,201000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Peugeot,206,2290,33.84,160000,155000,Etuakselisto,"Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Peugeot,307,3675,41.36,219000,216000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Peugeot,406,598,43.81,260000,248000,"Seisontajarrun
dynamometritesti",Etuakselisto,Taka-akselisto
2004,Peugeot,407,939,38.98,228000,222000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Peugeot,607,151,35.76,268000,261000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2004,Peugeot,807,130,54.62,266000,263000,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2004,Peugeot,PARTNER,183,34.43,223000,225000,Etuakselisto,"Ohjausnivelet ja
-tangot","Käyttöjarrun
dynamometritesti"
2004,Porsche,Mallit yhteensä,154,16.88,169000,165000,"Sisäinen
valvontajärjestelmä
(OBD)",,
2004,Renault,Mallit yhteensä,5500,47.09,202000,200000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2004,Renault,CLIO,786,39.44,149000,147000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2004,Renault,LAGUNA,1051,49.67,224000,224000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2004,Renault,MEGANE,2202,48.09,213000,209000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Renault,MEGANE SCENIC,1155,50.48,203000,201000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Renault,TWINGO,148,31.08,135000,133000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2004,Saab,Mallit yhteensä,1785,27.68,252000,246000,Taka-akselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2004,Saab,9-3,929,30.57,240000,235000,Taka-akselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Saab,9-5,856,24.53,264000,260000,"Seisontajarrun
dynamometritesti",Taka-akselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Seat,Mallit yhteensä,1182,39.85,287000,278000,Käyttöjarru,"Seisontajarrun
dynamometritesti",Etuakselisto
2004,Seat,CORDOBA,163,39.26,253000,229000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Seat,IBIZA,132,41.67,183000,182000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Seat,LEON,306,34.64,283000,271000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Seat,TOLEDO,481,44.7,336000,345000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2004,Skoda,Mallit yhteensä,2941,35.84,260000,251000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Skoda,FABIA,616,41.88,214000,203000,Käyttöjarru,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Skoda,OCTAVIA,2131,34.77,271000,260000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Skoda,SUPERB,194,28.35,295000,274000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Smart,Mallit yhteensä,204,29.9,138000,135000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Smart,FORFOUR,101,40.59,171000,170000,"Seisontajarrun
dynamometritesti",,
2004,Subaru,Mallit yhteensä,675,21.33,236000,233000,"Bensiinimoottorin
pakokaasumittaus","Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Subaru,FORESTER,153,21.57,241000,236000,"Jousitus ja
iskunvaimennus",,
2004,Subaru,IMPREZA,179,26.82,210000,214000,"Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Subaru,LEGACY,342,18.42,249000,249000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Suzuki,Mallit yhteensä,587,24.19,187000,183000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2004,Suzuki,GRAND VITARA,182,23.08,226000,217000,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti",Etuakselisto
2004,Suzuki,IGNIS,111,27.93,179000,178000,Etuakselisto,,
2004,Suzuki,LIANA,157,26.75,188000,187000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Toyota,Mallit yhteensä,20502,20.12,234000,226000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2004,Toyota,AVENSIS,5240,23.72,262000,253000,Taka-akselisto,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Toyota,AVENSIS VERSO,478,28.03,303000,295000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Toyota,CAMRY,133,15.04,249000,242000,,,
2004,Toyota,COROLLA,8966,17.89,218000,212000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Käyttöjarru
2004,Toyota,"COROLLA
VERSO",1605,19,254000,248000,"Seisontajarrun
dynamometritesti","Alustan kotelot ja
pohjalevy",Käyttöjarru
2004,Toyota,LAND CRUISER,397,21.91,347000,341000,Etuakselisto,"Seisontajarrun
dynamometritesti",
2004,Toyota,PRIUS,101,29.7,225000,230000,Etuakselisto,,
2004,Toyota,RAV4,759,15.28,249000,237000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2004,Toyota,YARIS,1960,18.93,173000,165000,"Käyttöjarrun
dynamometritesti",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Toyota,YARIS VERSO,612,24.67,219000,212000,"Alustan kotelot ja
pohjalevy","Bensiinimoottorin
pakokaasumittaus","Seisontajarrun
dynamometritesti"
2004,Volkswagen,Mallit yhteensä,14092,35.07,248000,235000,Käyttöjarru,Etuakselisto,"Seisontajarrun
dynamometritesti"
2004,Volkswagen,BORA,1717,27.32,219000,209000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Volkswagen,CADDY,127,37.8,278000,287000,"Alustan kotelot ja
pohjalevy",Käyttöjarru,Etuakselisto
2004,Volkswagen,GOLF,6770,37.4,237000,227000,Käyttöjarru,"Alustan kotelot ja
pohjalevy","Jousitus ja
iskunvaimennus"
2004,Volkswagen,PASSAT,2349,30.57,311000,301000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2004,Volkswagen,POLO,1564,36.76,173000,162000,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2004,Volkswagen,TOUAREG,163,27.61,282000,281000,Käyttöjarru,Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Volkswagen,TOURAN,1007,41.91,307000,297000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2004,Volkswagen,TRANSPORTER,199,40.2,369000,357000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2004,Volvo,Mallit yhteensä,11730,33.42,286000,269000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2004,Volvo,S40,1840,31.96,226000,218000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2004,Volvo,S60,1327,30.07,261000,253000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2004,Volvo,S80,780,27.69,300000,273000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Volvo,V40,1387,37.06,245000,237000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2004,Volvo,V50,1486,37.75,272000,264000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2004,Volvo,V70,3720,32.8,333000,312000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2004,Volvo,XC70,470,27.87,322000,313000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2004,Volvo,XC90,707,40.74,315000,303000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2005,Merkit yhteensä,Mallit yhteensä,146751,30.98,225000,215000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2005,Alfa Romeo,Mallit yhteensä,314,40.76,183000,180000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2005,Alfa Romeo,147,107,48.6,164000,159000,Etuakselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2005,Alfa Romeo,156,117,40.17,215000,205000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Ohjausnivelet ja
-tangot"
2005,Audi,Mallit yhteensä,6564,24.01,265000,255000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2005,Audi,A3,1282,29.25,219000,207000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2005,Audi,A4,3239,24.48,263000,256000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2005,Audi,A6,1931,20.2,299000,290000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2005,BMW,Mallit yhteensä,5566,37.57,266000,260000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2005,BMW,1,618,35.6,219000,206000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2005,BMW,3,2183,42.74,255000,248000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2005,BMW,5,1840,36.96,296000,294000,"Ohjausnivelet ja
-tangot",Käyttöjarru,Etuakselisto
2005,BMW,X3,308,21.43,286000,278000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2005,BMW,X5,348,37.07,301000,300000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2005,Chevrolet,Mallit yhteensä,1809,42.18,154000,153000,"Käyttöjarrun
dynamometritesti",Etuakselisto,"Alustan kotelot ja
pohjalevy"
2005,Chevrolet,EVANDA,218,37.61,178000,169000,"Käyttöjarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2005,Chevrolet,KALOS,734,42.51,131000,130000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Alustan kotelot ja
pohjalevy"
2005,Chevrolet,LACETTI,165,42.42,158000,156000,"Käyttöjarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2005,Chevrolet,MATIZ,134,37.31,111000,101000,"Sisäinen
valvontajärjestelmä
(OBD)","Alustan kotelot ja
pohjalevy",Etuakselisto
2005,Chevrolet,NUBIRA,429,49.65,193000,192000,"Alustan kotelot ja
pohjalevy",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2005,Chrysler,Mallit yhteensä,1691,42.34,218000,210000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2005,Chrysler,300C,239,41.84,228000,223000,"Seisontajarrun
dynamometritesti",Etuakselisto,Taka-akselisto
2005,Chrysler,NEON,176,46.02,160000,149000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Ohjausnivelet ja
-tangot"
2005,Chrysler,PT CRUISER,136,39.71,185000,182000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2005,Chrysler,SEBRING,398,41.46,185000,181000,Etuakselisto,"Ohjausnivelet ja
-tangot","Alustan kotelot ja
pohjalevy"
2005,Chrysler,VOYAGER,685,43.36,262000,249000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Ohjausnivelet ja
-tangot"
2005,Citroen,Mallit yhteensä,5646,35.6,198000,191000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2005,Citroen,BERLINGO,166,32.53,235000,221000,Etuakselisto,"Ohjausnivelet ja
-tangot","Käyttöjarrun
dynamometritesti"
2005,Citroen,C2,345,31.3,152000,151000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2005,Citroen,C3,863,30.48,148000,145000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2005,Citroen,C4,1741,35.96,189000,184000,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus",Etuakselisto
